accession	entry_name	protein_names	gene_names	organism	sequence_source	keywords	go_ids	ligand_chebis	decision	reason
A0A2Y9PIT4	A0A2Y9PIT4_DELLE	Glucocorticoid receptor (Nuclear receptor subfamily 3 group C member 1)	NR3C1	Delphinapterus leucas (Beluga whale)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0156;KW-0158;KW-0963;KW-0206;KW-0238;KW-0446;KW-0479;KW-0496;KW-0539;KW-0597;KW-0675;KW-1185;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:0005813;GO:0005694;GO:0005829;GO:0016020;GO:0005739;GO:0016607;GO:0032991;GO:0005819;GO:0045202;GO:0001046;GO:0001228;GO:0001227;GO:0051879;GO:0042802;GO:0004883;GO:1990841;GO:0019901;GO:0000978;GO:1990239;GO:0017025;GO:0008270;GO:0048708;GO:0071549;GO:0071560;GO:0006325;GO:0006351;GO:0014004;GO:0061744;GO:0150076;GO:1902895;GO:0035249		KEEP	GO sterane-specific: ['GO:1990239']
A0A2Y9Q991	A0A2Y9Q991_DELLE	Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4)	NR1H4	Delphinapterus leucas (Beluga whale)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0007;KW-0010;KW-0238;KW-0391;KW-0395;KW-0399;KW-1017;KW-0479;KW-0488;KW-0539;KW-0597;KW-0675;KW-1185;KW-0678;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0000791;GO:0016607;GO:0043235;GO:0090575;GO:0038186;GO:1902122;GO:0001228;GO:0046965;GO:0000978;GO:0001221;GO:0008270;GO:0030154;GO:0007043;GO:1903413;GO:0071398;GO:0071222;GO:0042632;GO:0042742;GO:0006351;GO:0055089;GO:0006954;GO:0045087;GO:0001678;GO:0035356;GO:0043066;GO:0043124;GO:0050728;GO:0032692;GO:0032703;GO:0032715;GO:0071638;GO:0000122;GO:0032720;GO:0010804;GO:0032689;GO:0038185;GO:1904179;GO:2001250;GO:0046628;GO:0035774;GO:0032740;GO:1905695;GO:0010988;GO:0034162		KEEP	GO sterane-specific: ['GO:0038186']
A0A2Y9SI68	A0A2Y9SI68_PHYMC	Sodium/potassium-transporting ATPase subunit alpha	ATP1A1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0067;KW-1003;KW-0966;KW-0406;KW-0460;KW-0472;KW-0479;KW-0547;KW-0597;KW-0630;KW-0633;KW-1185;KW-0915;KW-0739;KW-0740;KW-1278;KW-0812;KW-1133;KW-0813	GO:0016324;GO:0030424;GO:0016323;GO:0016328;GO:0042470;GO:0031090;GO:0014069;GO:0005890;GO:0036126;GO:0030315;GO:0005524;GO:0016887;GO:0046872;GO:0005391;GO:0016791;GO:0051087;GO:1990239;GO:0044325;GO:0071383;GO:0030007;GO:0006883;GO:0086009;GO:0007231;GO:1990573;GO:1902600;GO:1903416;GO:0036376	CHEBI:15377;CHEBI:15378;CHEBI:29101;CHEBI:29103;CHEBI:30616;CHEBI:43474;CHEBI:456216	KEEP	GO sterane-specific: ['GO:1990239']
A0A2Y9SXQ5	A0A2Y9SXQ5_PHYMC	Glucocorticoid receptor (Nuclear receptor subfamily 3 group C member 1)	NR3C1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0156;KW-0158;KW-0963;KW-0206;KW-0238;KW-0446;KW-0479;KW-0496;KW-0539;KW-0597;KW-0675;KW-1185;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:0005813;GO:0005694;GO:0005829;GO:0016020;GO:0005739;GO:0016607;GO:0032991;GO:0005819;GO:0045202;GO:0001046;GO:0001228;GO:0001227;GO:0051879;GO:0042802;GO:0004883;GO:1990841;GO:0019901;GO:0000978;GO:1990239;GO:0017025;GO:0008270;GO:0048708;GO:0071549;GO:0071560;GO:0006325;GO:0006351;GO:0014004;GO:0061744;GO:0150076;GO:1902895;GO:0035249		KEEP	GO sterane-specific: ['GO:1990239']
A0A2Z4XFC5	A0A2Z4XFC5_CTEID	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	GPER-1	Ctenopharyngodon idella (Grass carp) (Leuciscus idella)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0004930;GO:0030284;GO:0005496;GO:0006915;GO:0030154;GO:0071392;GO:0051447;GO:1900194;GO:0007399		KEEP	KW-0675 steroid hormone receptor
A0A384C123	A0A384C123_URSMA	UDP-glucuronosyltransferase (EC 2.4.1.17)	LOC103662655 UGT1A1	Ursus maritimus (Polar bear) (Thalarctos maritimus)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0256;KW-0325;KW-0328;KW-0472;KW-1185;KW-0732;KW-0808;KW-0812;KW-1133	GO:0034663;GO:0005788;GO:0005789;GO:0005886;GO:0019899;GO:0004857;GO:0015020;GO:0042803;GO:0001972;GO:0005496;GO:0006789;GO:0008210;GO:0051552;GO:0042167;GO:0006805	CHEBI:132367;CHEBI:132368;CHEBI:15378;CHEBI:58052;CHEBI:58223	KEEP_WEAK	GO:0005496 umbrella only (no vitD, no specific child)
A0A384C5F8	A0A384C5F8_URSMA	Glucocorticoid receptor (Nuclear receptor subfamily 3 group C member 1)	NR3C1	Ursus maritimus (Polar bear) (Thalarctos maritimus)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0156;KW-0158;KW-0963;KW-0206;KW-0238;KW-0446;KW-0479;KW-0496;KW-0539;KW-0597;KW-0675;KW-1185;KW-0754;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0005813;GO:0005694;GO:0005829;GO:0016020;GO:0005739;GO:0016607;GO:0032991;GO:0005819;GO:0045202;GO:0001046;GO:0001228;GO:0001227;GO:0051879;GO:0042802;GO:0004883;GO:1990841;GO:0019901;GO:0000978;GO:1990239;GO:0017025;GO:0008270;GO:0048708;GO:0071549;GO:0071560;GO:0006325;GO:0006351;GO:0014004;GO:0061744;GO:0150076;GO:1902895;GO:0035249		KEEP	GO sterane-specific: ['GO:1990239']
A0A384C623	A0A384C623_URSMA	Non-selective voltage-gated ion channel VDAC1 (Voltage-dependent anion-selective channel protein 1)	VDAC1	Ursus maritimus (Polar bear) (Thalarctos maritimus)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0007;KW-0053;KW-0067;KW-1003;KW-0406;KW-1017;KW-0472;KW-0496;KW-1000;KW-0520;KW-0547;KW-0597;KW-0626;KW-1185;KW-0812;KW-1134;KW-0813;KW-0832	GO:0045121;GO:0042645;GO:0005741;GO:0005757;GO:0005886;GO:0005524;GO:0097001;GO:0015485;GO:0042802;GO:0008142;GO:0031210;GO:0015288;GO:0019901;GO:0044325;GO:0008308;GO:0006915;GO:0030855;GO:1990542;GO:0043066;GO:0110099;GO:2000378;GO:1905091	CHEBI:15355;CHEBI:17996;CHEBI:18420;CHEBI:29034;CHEBI:29101;CHEBI:29103;CHEBI:29108;CHEBI:29985;CHEBI:30616;CHEBI:57262;CHEBI:57643;CHEBI:59905	KEEP	GO sterane-specific: ['GO:0015485']
A0A384CNY1	A0A384CNY1_URSMA	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	GPER1	Ursus maritimus (Polar bear) (Thalarctos maritimus)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0030659;GO:0005829;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0098686;GO:0045095;GO:0031966;GO:0005635;GO:0005730;GO:0005654;GO:0048471;GO:0014069;GO:0055037;GO:0005802;GO:0003682;GO:0004930;GO:0030284;GO:1990239;GO:0007189;GO:0006915;GO:0030154;GO:0071392;GO:0071333;GO:0071375;GO:0071356;GO:0050804;GO:0010948;GO:0070373;GO:0045599;GO:0010629;GO:0050728;GO:0002695;GO:0051055;GO:0051898;GO:1904706;GO:0007399;GO:2000724;GO:0030335;GO:0008284;GO:0007204;GO:0045742;GO:0070374;GO:0045745;GO:0010628;GO:0032962;GO:0032024;GO:0050769;GO:0051897;GO:1903078;GO:0051281;GO:0045944;GO:0070474		KEEP	GO sterane-specific: ['GO:1990239']
A0A384CVS6	A0A384CVS6_URSMA	Apolipoprotein A-II (Apolipoprotein A2)	APOA2	Ursus maritimus (Polar bear) (Thalarctos maritimus)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0165;KW-0345;KW-0445;KW-1185;KW-0964;KW-0732;KW-0813	GO:0042627;GO:0034366;GO:0034361;GO:0034190;GO:0015485;GO:0120020;GO:0019899;GO:0031072;GO:0008035;GO:0070653;GO:0055102;GO:0031210;GO:0060228;GO:0046982;GO:0042803;GO:0048018;GO:0071402;GO:0033344;GO:0042632;GO:0046340;GO:0034380;GO:0034384;GO:0034375;GO:0042157;GO:0034374;GO:0060621;GO:0002719;GO:0050995;GO:0010903;GO:0006656;GO:0009395;GO:0033700;GO:0032757;GO:0050996;GO:0050766;GO:0050821;GO:0009749;GO:0043691;GO:0034370		KEEP	GO sterane-specific: ['GO:0015485']
A0A384D7G2	A0A384D7G2_URSMA	Vitamin D3 receptor (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)	VDR	Ursus maritimus (Polar bear) (Thalarctos maritimus)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-0479;KW-0539;KW-0675;KW-1185;KW-0804;KW-0805;KW-0862;KW-0863	GO:0000785;GO:0005737;GO:0005654;GO:0043235;GO:0090575;GO:0038186;GO:1902098;GO:1902121;GO:0046965;GO:0070644;GO:0008270;GO:0030154;GO:0000902;GO:0046697;GO:0042789;GO:0010839;GO:0000122;GO:0038185;GO:0035435;GO:0010628;GO:0045618;GO:0045944;GO:0070564;GO:1903412;GO:0048384;GO:0070561		DROP_VITD	VDR — vitamin D nuclear receptor (secosteroid-only)
A0A384DB01	A0A384DB01_URSMA	Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4)	NR1H4	Ursus maritimus (Polar bear) (Thalarctos maritimus)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0007;KW-0010;KW-0238;KW-0391;KW-0395;KW-0399;KW-1017;KW-0479;KW-0488;KW-0539;KW-0597;KW-0675;KW-1185;KW-0678;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0000791;GO:0016607;GO:0043235;GO:0090575;GO:0038186;GO:1902122;GO:0001228;GO:0046965;GO:0000978;GO:0001221;GO:0008270;GO:0030154;GO:0007043;GO:1903413;GO:0071398;GO:0071222;GO:0042632;GO:0042742;GO:0006351;GO:0055089;GO:0006954;GO:0045087;GO:0001678;GO:0035356;GO:0043066;GO:0043124;GO:0050728;GO:0032692;GO:0032703;GO:0032715;GO:0071638;GO:0000122;GO:0032720;GO:0010804;GO:0032689;GO:0038185;GO:1904179;GO:2001250;GO:0046628;GO:0035774;GO:0032740;GO:1905695;GO:0010988;GO:0034162		KEEP	GO sterane-specific: ['GO:0038186']
A0A384DB65	A0A384DB65_URSMA	Caveolin	CAV1	Ursus maritimus (Polar bear) (Thalarctos maritimus)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1003;KW-0333;KW-1017;KW-0449;KW-0472;KW-0564;KW-1185;KW-0812;KW-1133;KW-0832	GO:0002080;GO:0002095;GO:0005938;GO:0005929;GO:0005783;GO:0005768;GO:0005925;GO:0000139;GO:0048471;GO:0042383;GO:0051117;GO:0042802;GO:0070320;GO:0050998;GO:0008142;GO:0016504;GO:0046982;GO:0019901;GO:0030292;GO:0044877;GO:0030674;GO:0005102;GO:0031267;GO:0044325;GO:0038166;GO:0097190;GO:0060070;GO:0070836;GO:0072584;GO:0030154;GO:0071455;GO:0071218;GO:0038016;GO:2000811;GO:0090090;GO:0001937;GO:0060546;GO:0048550;GO:1901380;GO:0031397;GO:0000122;GO:0010524;GO:0043123;GO:0030335;GO:0010875;GO:0120162;GO:1904294;GO:2001238;GO:1903598;GO:0010628;GO:2001244;GO:0031398;GO:0010608;GO:0019065;GO:0030193;GO:0098909;GO:1901844;GO:0051480;GO:2000535;GO:0086091;GO:0098903;GO:1900027;GO:0098911;GO:0009617;GO:0051592;GO:0031295		REVIEW	free-text mentions steroid vocabulary but no formal annotation
A0A3B3B4T1	A0A3B3B4T1_ORYME	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	FQA47_006960	Oryzias melastigma (Marine medaka)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0038054;GO:0030284;GO:0005496;GO:0006915;GO:0007420;GO:0030154;GO:0071392;GO:0051447;GO:0043524;GO:1900194;GO:0040019;GO:2000179;GO:0045944		KEEP	KW-0675 steroid hormone receptor
A0A3B3BPR1	A0A3B3BPR1_ORYME	Protein smoothened		Oryzias melastigma (Marine medaka)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1003;KW-0966;KW-0217;KW-1015;KW-0297;KW-0325;KW-0472;KW-0675;KW-1185;KW-0732;KW-0807;KW-0812;KW-1133	GO:0005929;GO:0030425;GO:0005886;GO:0004930;GO:0008142;GO:0005113;GO:0007417;GO:0071679;GO:0007389;GO:0007224;GO:0009888		KEEP	KW-0675 steroid hormone receptor
A0A3B3DMW6	A0A3B3DMW6_ORYME	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	GPER1	Oryzias melastigma (Marine medaka)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0004930;GO:0030284;GO:0005496;GO:0006915;GO:0030154;GO:0071392;GO:0051447;GO:1900194;GO:0007399		KEEP	KW-0675 steroid hormone receptor
A0A3B3S726	A0A3B3S726_9TELE	Protein smoothened		Paramormyrops kingsleyae	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1003;KW-0966;KW-0217;KW-1015;KW-0297;KW-0325;KW-0472;KW-0675;KW-1185;KW-0732;KW-0807;KW-0812;KW-1133	GO:0005929;GO:0030425;GO:0005886;GO:0004930;GO:0008142;GO:0005113;GO:0007417;GO:0071679;GO:0007389;GO:0007224;GO:0009888		KEEP	KW-0675 steroid hormone receptor
A0A3B3V458	A0A3B3V458_9TELE	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)		Poecilia latipinna (sailfin molly)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0038054;GO:0030284;GO:0005496;GO:0006915;GO:0007420;GO:0030154;GO:0071392;GO:0051447;GO:0043524;GO:1900194;GO:0040019;GO:2000179;GO:0045944		KEEP	KW-0675 steroid hormone receptor
A0A3B3W083	A0A3B3W083_9TELE	Protein smoothened		Poecilia latipinna (sailfin molly)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1003;KW-0966;KW-0217;KW-1015;KW-0297;KW-0325;KW-0472;KW-0675;KW-1185;KW-0732;KW-0807;KW-0812;KW-1133	GO:0005929;GO:0030425;GO:0005886;GO:0004930;GO:0008142;GO:0005113;GO:0007417;GO:0071679;GO:0007389;GO:0007224;GO:0009888		KEEP	KW-0675 steroid hormone receptor
A0A3B4FLZ4	A0A3B4FLZ4_9CICH	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)		Pundamilia nyererei	UniProt accession (from Rhea steroid-reaction query — corpus seed)				KEEP_BY_NAME	sterane — estradiol binds sterane
A0A3B4GWJ0	A0A3B4GWJ0_9CICH	Protein smoothened		Pundamilia nyererei	UniProt accession (from Rhea steroid-reaction query — corpus seed)				KEEP_BY_NAME	sterane — cholesterol-modulated
A0A3B4TJ07	A0A3B4TJ07_SERDU	Protein smoothened		Seriola dumerili (Greater amberjack) (Caranx dumerili)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1003;KW-0966;KW-0217;KW-1015;KW-0297;KW-0325;KW-0472;KW-0675;KW-1185;KW-0732;KW-0807;KW-0812;KW-1133	GO:0005929;GO:0030425;GO:0005886;GO:0004930;GO:0008142;GO:0005113;GO:0007417;GO:0071679;GO:0007389;GO:0007224;GO:0009888		KEEP	KW-0675 steroid hormone receptor
A0A3B4V6H3	A0A3B4V6H3_SERDU	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)		Seriola dumerili (Greater amberjack) (Caranx dumerili)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0038054;GO:0030284;GO:0005496;GO:0006915;GO:0007420;GO:0030154;GO:0071392;GO:0051447;GO:0043524;GO:1900194;GO:0040019;GO:2000179;GO:0045944		KEEP	KW-0675 steroid hormone receptor
A0A3B4X6N7	A0A3B4X6N7_SERLL	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)		Seriola lalandi dorsalis	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0038054;GO:0030284;GO:0005496;GO:0006915;GO:0007420;GO:0030154;GO:0071392;GO:0051447;GO:0043524;GO:1900194;GO:0040019;GO:2000179;GO:0045944		KEEP	KW-0675 steroid hormone receptor
A0A3B4ZC46	A0A3B4ZC46_SERLL	Protein smoothened		Seriola lalandi dorsalis	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1003;KW-0966;KW-0217;KW-1015;KW-0297;KW-0325;KW-0472;KW-0675;KW-1185;KW-0732;KW-0807;KW-0812;KW-1133	GO:0005929;GO:0030425;GO:0005886;GO:0004930;GO:0008142;GO:0005113;GO:0007417;GO:0071679;GO:0007389;GO:0007224;GO:0009888		KEEP	KW-0675 steroid hormone receptor
A0A3B5AXT4	A0A3B5AXT4_9TELE	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	gper1	Stegastes partitus (bicolor damselfish)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0038054;GO:0030284;GO:0005496;GO:0006915;GO:0007420;GO:0030154;GO:0071392;GO:0051447;GO:0043524;GO:1900194;GO:0040019;GO:2000179;GO:0045944		KEEP	KW-0675 steroid hormone receptor
A0A3B5B0L8	A0A3B5B0L8_9TELE	Protein smoothened	smo	Stegastes partitus (bicolor damselfish)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1003;KW-0966;KW-0217;KW-1015;KW-0297;KW-0325;KW-0472;KW-0675;KW-1185;KW-0732;KW-0807;KW-0812;KW-1133	GO:0005929;GO:0030425;GO:0005886;GO:0004930;GO:0008142;GO:0005113;GO:0007417;GO:0071679;GO:0007389;GO:0007224;GO:0009888		KEEP	KW-0675 steroid hormone receptor
A0A3B5M3T7	A0A3B5M3T7_9TELE	Protein smoothened		Xiphophorus couchianus (Monterrey platyfish)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1003;KW-0966;KW-0217;KW-1015;KW-0297;KW-0325;KW-0472;KW-0675;KW-1185;KW-0732;KW-0807;KW-0812;KW-1133	GO:0005929;GO:0030425;GO:0005886;GO:0004930;GO:0008142;GO:0005113;GO:0007417;GO:0071679;GO:0007389;GO:0007224;GO:0009888		KEEP	KW-0675 steroid hormone receptor
A0A3B5MLQ2	A0A3B5MLQ2_9TELE	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)		Xiphophorus couchianus (Monterrey platyfish)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0038054;GO:0030284;GO:0005496;GO:0006915;GO:0007420;GO:0030154;GO:0071392;GO:0051447;GO:0043524;GO:1900194;GO:0040019;GO:2000179;GO:0045944		KEEP	KW-0675 steroid hormone receptor
A0A3P8NWF9	A0A3P8NWF9_ASTCA	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	GPER1	Astatotilapia calliptera (Eastern happy) (Chromis callipterus)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0038054;GO:0030284;GO:0005496;GO:0006915;GO:0007420;GO:0030154;GO:0071392;GO:0051447;GO:0043524;GO:1900194;GO:0040019;GO:2000179;GO:0045944		KEEP	KW-0675 steroid hormone receptor
A0A3P8R5C1	A0A3P8R5C1_ASTCA	Protein smoothened	SMO	Astatotilapia calliptera (Eastern happy) (Chromis callipterus)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1003;KW-0966;KW-0217;KW-1015;KW-0297;KW-0325;KW-0472;KW-0675;KW-1185;KW-0732;KW-0807;KW-0812;KW-1133	GO:0005929;GO:0030425;GO:0005886;GO:0004930;GO:0008142;GO:0005113;GO:0007417;GO:0071679;GO:0007389;GO:0007224;GO:0009888		KEEP	KW-0675 steroid hormone receptor
A0A3P8S190	A0A3P8S190_AMPPE	Protein smoothened		Amphiprion percula (Orange clownfish) (Lutjanus percula)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1003;KW-0966;KW-0217;KW-1015;KW-0297;KW-0325;KW-0472;KW-0675;KW-1185;KW-0732;KW-0807;KW-0812;KW-1133	GO:0005929;GO:0030425;GO:0005886;GO:0004930;GO:0008142;GO:0005113;GO:0007417;GO:0071679;GO:0007389;GO:0007224;GO:0009888		KEEP	KW-0675 steroid hormone receptor
A0A3P8SY93	A0A3P8SY93_AMPPE	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)		Amphiprion percula (Orange clownfish) (Lutjanus percula)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0038054;GO:0030284;GO:0005496;GO:0006915;GO:0007420;GO:0030154;GO:0071392;GO:0051447;GO:0043524;GO:1900194;GO:0040019;GO:2000179;GO:0045944		KEEP	KW-0675 steroid hormone receptor
A0A3P8VM23	A0A3P8VM23_CYNSE	Protein smoothened		Cynoglossus semilaevis (Tongue sole)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1003;KW-0966;KW-0217;KW-1015;KW-0297;KW-0325;KW-0472;KW-0675;KW-1185;KW-0732;KW-0807;KW-0812;KW-1133	GO:0005929;GO:0030425;GO:0005886;GO:0004930;GO:0008142;GO:0005113;GO:0007417;GO:0071679;GO:0007389;GO:0007224;GO:0009888		KEEP	KW-0675 steroid hormone receptor
