i	j	len_i	len_j	identity
30844	33044	519	481	0.35135135135135137
2203	27898	524	465	0.3153846153846154
34807	25842	262	1877	0.2777777777777778
31409	6422	1277	487	0.3
29651	32459	1323	528	0.3548387096774194
15762	5445	505	583	0.2777777777777778
814	26648	446	639	0.2857142857142857
14287	8697	165	321	0.35294117647058826
23488	19384	1208	371	0.36
15667	5946	392	420	0.3333333333333333
1043	31443	824	545	0.35
19977	10603	357	121	0.5
30099	1599	1524	504	0.30952380952380953
29808	30393	539	1545	0.21686746987951808
9084	26565	657	504	0.32142857142857145
12120	24275	919	632	0.375
30428	89	572	453	0.34210526315789475
4633	25223	399	500	0.37037037037037035
21817	34794	387	727	0.2331288343558282
2143	19437	261	630	0.3333333333333333
27911	17680	466	652	0.20930232558139536
13575	5305	1320	562	0.28
22000	3592	477	515	0.2972972972972973
33733	23854	178	1130	0.1864406779661017
3379	7272	433	1262	0.20689655172413793
25097	23959	274	865	0.35135135135135137
30497	2678	253	491	0.2619047619047619
23958	24014	1242	513	0.25
11486	4391	500	520	0.2564102564102564
13416	9070	1525	401	0.23636363636363636
21949	15639	313	311	0.3333333333333333
7442	31358	894	515	0.19230769230769232
13749	14774	852	192	0.26744186046511625
21001	23115	1280	567	0.34375
17521	33001	971	147	0.35714285714285715
27717	18162	851	525	0.21428571428571427
3569	4152	1076	656	0.288135593220339
24432	22624	220	927	0.2714285714285714
29649	31865	391	613	0.32142857142857145
32863	34516	900	503	0.34375
8041	30812	567	394	0.5384615384615384
34858	34921	419	778	0.2962962962962963
19153	29620	461	456	0.3333333333333333
24126	4300	310	567	0.5
12343	30007	417	547	0.2702702702702703
5721	5254	423	1303	0.26
25603	11718	630	412	0.46153846153846156
18898	5042	335	495	0.35
7167	10798	1336	255	0.4375
18084	7341	505	237	0.5
9696	32527	945	255	0.28
9863	13386	1029	524	0.38461538461538464
34123	1487	892	522	0.36363636363636365
19213	27298	512	521	0.35294117647058826
8652	31057	350	373	0.4166666666666667
22721	27533	1276	476	0.3125
29088	1407	396	410	0.3181818181818182
19104	12390	407	420	0.24324324324324326
4125	1444	334	441	0.2692307692307692
15225	34053	192	486	0.24
22012	26980	1270	810	0.3448275862068966
22465	21384	297	540	0.2638888888888889
31860	34744	492	261	0.391304347826087
29180	30015	512	291	0.2916666666666667
19928	8647	1325	1275	0.24333333333333335
20086	11254	282	935	0.23404255319148937
17039	14862	587	425	0.25862068965517243
31735	24372	411	524	0.22727272727272727
18883	3101	1290	750	0.3793103448275862
9721	23142	260	360	0.3076923076923077
18637	29879	411	582	0.2727272727272727
10902	10537	261	381	0.4444444444444444
35082	18693	827	1225	0.24528301886792453
11945	11492	555	639	0.5
10058	10567	515	536	0.30434782608695654
15591	7662	192	919	0.2647058823529412
2696	20750	886	365	0.2403846153846154
8288	28894	511	532	0.32142857142857145
17066	24226	461	292	0.21359223300970873
12091	13445	1530	1333	0.34541420118343197
2273	20771	270	312	0.2916666666666667
22534	9695	392	440	0.3170731707317073
24439	29388	294	302	0.3076923076923077
10655	34972	1503	467	0.38461538461538464
19763	7961	520	1498	0.25757575757575757
1633	26513	539	552	0.2403846153846154
32729	9527	1111	525	0.4245472837022133
30018	20985	404	379	0.21428571428571427
10227	281	567	394	0.5
33253	21710	357	618	0.42857142857142855
19369	31058	1317	386	0.21176470588235294
18994	9639	1294	314	0.2564102564102564
28973	22196	463	518	0.26373626373626374
7360	31390	448	381	0.23684210526315788
2626	9137	999	576	0.23478260869565218
7659	20190	494	541	0.24096385542168675
1625	26321	247	400	0.2
14441	29227	243	512	0.21428571428571427
23422	6060	516	1531	0.32142857142857145
21388	3606	1072	515	0.2898550724637681
12789	34500	332	561	0.36
14558	18214	1509	422	0.2537313432835821
12826	1477	163	374	0.3225806451612903
5478	29193	401	503	0.26666666666666666
5726	33540	1447	813	0.2777777777777778
25848	12743	331	292	0.19047619047619047
32143	20824	300	338	0.2413793103448276
33525	3673	781	596	0.2894736842105263
23662	26054	295	736	0.29411764705882354
9695	28025	440	429	0.23636363636363636
24224	25304	244	258	0.4117647058823529
24433	798	472	533	0.29545454545454547
18654	22604	497	290	0.22429906542056074
23026	20190	587	541	0.21008403361344538
29201	5740	512	850	0.2191780821917808
14135	29112	232	978	0.3076923076923077
27237	28999	498	1033	0.27906976744186046
18915	10734	469	375	0.2978723404255319
27776	27144	414	534	0.32142857142857145
9146	5641	1347	1456	0.26332622601279315
9413	13617	508	191	0.42857142857142855
19872	31104	276	1278	0.2571428571428571
34426	21981	405	1284	0.25925925925925924
4332	24626	569	1416	0.225
5796	433	573	487	0.3018867924528302
26834	17912	433	502	0.5555555555555556
27165	11461	685	217	0.24074074074074073
30285	8973	547	1266	0.25
13058	12190	524	526	0.6
25019	18970	512	740	0.44
32151	2767	417	550	0.36363636363636365
19791	19917	863	256	0.6
32381	30372	149	927	0.24390243902439024
14714	1758	505	334	0.4
160	10094	1316	397	0.3333333333333333
17214	19671	852	1274	0.2345679012345679
30968	8138	1489	494	0.28846153846153844
18853	27338	543	517	0.6153846153846154
11755	32236	453	733	0.37037037037037035
16039	1864	448	439	0.3333333333333333
7822	18167	438	192	0.23529411764705882
32312	4372	409	540	0.3333333333333333
23708	31489	1277	487	0.375
28578	16902	517	1198	0.23008849557522124
31197	7837	1523	423	0.2903225806451613
24458	33588	1273	357	0.37037037037037035
1149	17009	441	531	0.37037037037037035
10672	3834	219	317	0.6
9577	20950	506	351	0.2631578947368421
30214	8879	238	258	0.625
23421	10702	263	501	0.2727272727272727
3466	17869	484	1281	0.28378378378378377
23669	27493	1475	697	0.22608695652173913
23329	3192	777	641	0.23529411764705882
18996	19114	252	295	0.26262626262626265
34708	5034	927	667	0.21428571428571427
33676	12701	595	192	0.45454545454545453
12009	6193	485	223	0.3125
10953	21142	503	1346	0.375
20723	19731	499	260	0.3076923076923077
17790	23758	223	728	0.4666666666666667
6280	35023	615	674	0.21782178217821782
23044	9418	503	510	0.7509803921568627
845	8975	285	845	0.2553191489361702
33958	18442	775	255	0.28
24445	31778	404	1531	0.2702702702702703
27000	22302	418	356	0.4
10684	6712	1078	536	0.3888888888888889
14278	10128	1518	213	0.24031007751937986
32989	14490	486	394	0.4
12348	34449	748	279	0.2727272727272727
34871	7468	353	394	0.6666666666666666
27351	30178	499	548	0.1891891891891892
5006	7639	461	411	0.26666666666666666
8600	1138	448	349	0.75
31425	22820	356	222	0.35714285714285715
20419	23761	1161	375	0.36363636363636365
9110	28962	259	480	0.2441860465116279
34283	22416	1170	410	0.2413793103448276
11285	19967	472	646	0.4666666666666667
1884	7772	487	310	0.46153846153846156
14572	8435	372	357	0.32075471698113206
9329	14848	731	507	0.2786885245901639
20147	8214	1077	346	0.8840579710144928
13752	8533	448	1322	0.2807017543859649
5151	27840	836	1309	0.2972972972972973
7321	5094	513	1504	0.2894736842105263
1232	31736	552	284	0.25
28262	2786	659	491	0.21518987341772153
12868	7065	1332	468	0.3870967741935484
2149	33651	307	782	0.5555555555555556
3884	30741	1544	507	0.36666666666666664
7793	16581	1497	292	0.4
2836	4341	1646	430	0.3137254901960784
19768	673	570	320	0.3333333333333333
6324	8112	908	507	0.24444444444444444
13461	13108	223	519	0.3
12109	23038	523	734	0.5833333333333334
1917	5949	475	222	0.5
9539	18178	1223	297	0.4166666666666667
22795	23081	1311	437	0.2727272727272727
10522	32809	334	536	0.2777777777777778
15848	33089	299	776	0.6666666666666666
4478	6494	260	448	0.23529411764705882
916	34657	525	827	0.20967741935483872
14221	12553	525	454	0.2682926829268293
18471	11257	410	580	0.7777777777777778
283	6467	299	569	0.47058823529411764
14025	33042	292	373	0.6923076923076923
31110	24016	552	507	0.35714285714285715
12132	28813	1325	555	0.5909090909090909
7033	11852	1304	515	0.27
23253	24878	1348	854	0.3333333333333333
27793	14042	1248	292	0.23333333333333334
33701	14912	1020	315	0.4117647058823529
26711	7395	514	613	0.5
20596	8101	302	524	0.1951219512195122
30533	7229	304	521	0.2857142857142857
34060	8907	772	491	0.34782608695652173
32493	23674	272	347	0.22727272727272727
18892	2661	579	483	0.3114754098360656
5390	21503	501	529	0.45
32355	7583	224	556	0.4166666666666667
25217	18586	493	1250	0.3
29946	20447	561	244	0.29411764705882354
29095	14802	509	165	0.2727272727272727
26691	19044	486	506	0.20588235294117646
28046	12372	465	562	0.38095238095238093
4561	31173	493	235	0.30952380952380953
24080	11750	292	255	0.27631578947368424
837	32220	927	173	0.42857142857142855
6892	25976	1243	472	0.29411764705882354
28708	34253	502	777	0.2857142857142857
5570	7813	802	712	0.2641509433962264
9395	25874	543	382	0.4230769230769231
26255	6666	256	270	0.8
11057	4240	522	474	0.21271929824561403
23836	13047	1247	1281	0.8452743902439024
22192	13124	540	301	0.3333333333333333
26495	8045	520	276	0.5
15261	27833	394	480	0.26666666666666666
32709	18252	531	332	0.3225806451612903
17889	26229	1286	1223	0.3224489795918367
23337	31183	1464	612	0.38461538461538464
26505	31754	962	324	0.38461538461538464
33516	18277	1020	469	0.2608695652173913
9658	29794	329	255	0.23232323232323232
7080	8007	579	535	0.3888888888888889
16429	32069	532	666	0.2727272727272727
32589	15127	255	628	0.2727272727272727
8821	1947	1513	505	0.26143790849673204
6527	3463	310	503	0.2222222222222222
4471	32645	502	1327	0.31
1753	11737	428	513	0.32653061224489793
25076	21427	1292	534	0.4090909090909091
6313	5014	550	537	0.3
34075	32256	778	441	0.35294117647058826
30541	13233	176	223	0.8625
19238	32630	545	259	0.3
32129	33082	526	265	0.21505376344086022
17148	22519	524	349	0.2962962962962963
1158	2070	522	483	0.20486815415821502
28207	7807	523	1630	0.2641509433962264
25141	29498	365	515	0.2807017543859649
20614	24663	1544	857	0.2903225806451613
29003	30124	806	346	0.22857142857142856
2358	2153	921	1288	0.232
11591	19860	251	308	0.25213675213675213
10757	32209	269	300	0.36
28225	8813	653	1281	0.38461538461538464
20477	25498	536	541	0.2777777777777778
31945	7168	571	1200	0.3488372093023256
32148	30790	497	348	0.5
31189	10243	570	434	0.3125
33206	3652	1021	536	0.4
25649	17261	565	728	0.2558139534883721
32420	24759	1252	487	0.25
23118	18640	520	526	0.3225806451612903
21003	4025	539	547	0.29411764705882354
1844	2956	528	323	0.28
8401	24013	1350	513	0.5555555555555556
22863	1762	374	251	0.3333333333333333
22364	24941	274	554	0.23255813953488372
6379	28059	506	1561	0.3076923076923077
22619	23420	705	1542	0.37037037037037035
26996	23020	498	499	0.35
3699	16005	533	521	0.23648648648648649
16227	15376	190	226	0.3055555555555556
20453	5566	708	516	0.21621621621621623
4292	19982	657	857	0.2727272727272727
7501	22124	522	530	0.2755102040816326
11126	1291	486	493	0.2857142857142857
21372	2449	408	238	0.3333333333333333
30206	27687	389	1067	0.3191489361702128
33735	27601	533	329	0.44
17473	1337	205	562	0.2222222222222222
30782	1457	877	1317	0.2727272727272727
20743	24755	330	540	0.3076923076923077
25578	21130	432	519	0.3333333333333333
6404	32005	536	323	0.3333333333333333
6557	13494	255	784	0.41379310344827586
22017	32553	1296	392	0.225
32949	22252	1027	1289	0.2517482517482518
10920	19629	515	310	0.20833333333333334
23811	28573	1295	221	0.4375
13222	32568	639	516	0.25217391304347825
4936	35116	559	329	0.2777777777777778
14029	18832	448	333	0.27358490566037735
17377	3115	254	378	0.2317596566523605
19485	26347	551	255	0.46153846153846156
14803	6026	795	548	0.3125
6208	22075	1354	563	0.36363636363636365
17915	4408	1333	375	0.2361111111111111
34803	31147	483	1531	0.21153846153846154
27990	13745	589	332	0.7
22761	5024	361	1317	0.36666666666666664
19781	33072	1252	882	0.3333333333333333
19654	28371	555	845	0.4444444444444444
20535	13112	1267	1508	0.36071695294996264
27152	26365	443	323	0.3955056179775281
16466	33775	504	110	0.4666666666666667
29702	11835	527	529	0.21994884910485935
1219	33831	170	178	0.29411764705882354
12225	32715	663	472	0.19444444444444445
13956	30624	362	292	0.27906976744186046
17559	34912	192	986	0.5
28424	3924	341	655	0.2236024844720497
34227	13149	294	164	0.29411764705882354
23873	30309	458	1305	0.25
9682	15753	1414	808	0.3090909090909091
9861	19678	1269	509	0.2653061224489796
28533	26886	498	463	0.35294117647058826
20883	4222	581	522	0.4117647058823529
13340	27029	448	253	0.2962962962962963
17493	18811	505	1273	0.3023255813953488
10524	16806	378	547	0.2459016393442623
15475	26598	223	466	0.2971698113207547
15629	7442	163	894	0.375
9827	12577	1323	452	0.5555555555555556
1815	16094	419	458	0.3684210526315789
20351	30419	303	535	0.25
31810	28582	255	569	0.46153846153846156
27657	2425	1327	433	0.2375
13237	10443	795	1500	0.26229508196721313
17872	8941	362	538	0.4230769230769231
1909	16934	521	1291	0.2982456140350877
18204	11533	525	1319	0.29411764705882354
2767	31840	550	737	0.22058823529411764
1304	3625	203	498	0.26
5500	20572	222	450	0.34375
19528	4166	415	280	0.2857142857142857
26673	23818	255	385	0.2
5918	26010	505	292	0.375
9211	15469	498	237	0.24324324324324326
7335	32784	475	397	0.273972602739726
7906	34207	518	902	0.3684210526315789
34423	16502	587	556	0.2916666666666667
32535	5914	306	300	0.4
15602	8013	423	303	0.234375
20539	21580	1318	710	0.3333333333333333
25555	15462	320	453	0.3111111111111111
27713	14287	345	165	0.3333333333333333
9455	7000	456	536	0.34375
11478	14031	845	165	0.2857142857142857
17992	28801	165	349	0.8333333333333334
26763	16666	536	505	0.3684210526315789
3665	32136	605	356	0.26666666666666666
34961	24556	189	653	0.2926829268292683
7403	20741	506	665	0.2619047619047619
27772	31120	556	1329	0.3392857142857143
16144	18201	560	192	0.4666666666666667
9496	23789	320	365	0.5384615384615384
31144	24100	1532	540	0.3939393939393939
20196	1381	843	441	0.75
2281	3583	254	515	0.2708333333333333
15707	16579	453	556	0.26
25211	20268	491	332	0.2857142857142857
23780	7998	494	286	0.2711864406779661
35055	15491	217	505	0.36
28993	25458	531	1335	0.38235294117647056
515	25754	555	437	0.4666666666666667
16746	19719	698	256	0.25
5914	15431	300	445	0.2608695652173913
19491	13787	1285	1509	0.3588410104011887
10500	28760	1298	501	0.3225806451612903
20786	26626	428	514	0.23809523809523808
2220	17959	508	1305	0.2903225806451613
30873	27063	552	316	0.4
21805	27680	495	260	0.4
6579	10508	516	1351	0.21794871794871795
17102	33183	1244	1021	0.36666666666666664
4349	23059	345	579	0.21153846153846154
27582	21415	569	332	0.38461538461538464
29704	1792	143	484	0.3333333333333333
3414	12041	255	412	0.5384615384615384
29058	8918	837	413	0.42105263157894735
201	26257	437	1364	0.22
13112	20024	1508	386	0.3870967741935484
20560	5389	1204	468	0.2328767123287671
7263	10343	869	551	0.4074074074074074
16358	33840	293	178	0.5714285714285714
8525	26890	571	558	0.24193548387096775
20932	29588	690	456	0.3181818181818182
31350	8749	495	763	0.2727272727272727
17083	11369	1220	516	0.26
21468	18467	496	277	0.23703703703703705
13019	5531	135	540	0.4375
27164	24091	348	1866	0.27692307692307694
11920	25788	491	256	0.25252525252525254
24728	14711	437	223	0.46153846153846156
1358	1505	1317	410	0.22807017543859648
14988	5831	1323	601	0.27232142857142855
30305	12993	646	1333	0.29411764705882354
17156	11059	1531	380	0.24285714285714285
3262	26282	496	383	0.43478260869565216
28108	17049	343	466	0.25
9781	5836	530	327	0.3125
24112	11149	591	524	0.3548387096774194
7690	925	312	524	0.2894736842105263
34461	28518	776	554	0.3137254901960784
29734	32384	542	716	0.45
7766	14711	322	223	0.5555555555555556
13313	12487	505	501	0.4666666666666667
17445	18871	469	626	0.35294117647058826
32385	25039	298	418	0.3333333333333333
8532	28266	553	255	0.38461538461538464
13540	14127	191	825	0.3157894736842105
18544	12410	297	425	0.2682926829268293
27415	11820	1318	860	0.32142857142857145
26773	9564	344	512	0.27906976744186046
1885	19018	293	226	0.75
17157	15432	361	502	0.36363636363636365
29555	16273	528	156	0.5454545454545454
24224	30026	244	452	0.25
5618	676	507	1313	0.34615384615384615
30728	8729	345	251	0.3
21184	26054	611	736	0.23076923076923078
13907	25132	453	868	0.5530642750373692
27740	16792	260	318	0.25
4787	6244	871	277	0.25
3850	3415	512	255	0.32142857142857145
21814	15390	707	292	0.23333333333333334
30863	23219	569	258	0.28
2982	351	483	785	0.265625
16623	33065	754	1440	0.2727272727272727
24965	19825	416	492	0.3170731707317073
25866	24307	439	365	0.2608695652173913
8666	2695	539	650	0.5687732342007435
11755	17058	453	489	0.47368421052631576
11132	33013	396	1379	0.25
32298	22228	261	1326	0.28846153846153844
30676	8645	410	372	0.6
5875	20795	544	556	0.2894736842105263
34761	28372	255	738	0.43478260869565216
9292	17065	1348	470	0.2830188679245283
7657	20530	475	1220	0.27906976744186046
2894	8380	1531	623	0.3103448275862069
32716	18415	526	1580	0.2413793103448276
23631	28186	1212	958	0.2679738562091503
18541	17250	562	495	0.24752475247524752
17285	33880	286	1443	0.2403846153846154
20513	28558	644	1305	0.29777777777777775
10812	20679	294	350	0.3076923076923077
32196	9913	657	524	0.3333333333333333
28835	3487	401	545	0.35294117647058826
12381	9740	334	654	0.23076923076923078
3576	15064	522	1509	0.325
12002	2350	418	718	0.2857142857142857
30818	17054	557	479	0.3125
10718	30614	255	548	0.625
28601	7603	390	522	0.3191489361702128
32434	2673	528	437	0.26666666666666666
28935	23364	490	1488	0.2653061224489796
31798	29999	282	455	0.2857142857142857
32308	7372	294	410	0.2909090909090909
9702	8103	421	507	0.4666666666666667
22911	6132	1222	542	0.2692307692307692
13351	18619	1307	425	0.23668639053254437
11839	11029	944	423	0.1724137931034483
33340	17877	358	505	0.4
13919	270	223	235	0.5
34472	11833	297	517	0.23076923076923078
16132	32644	448	309	0.47368421052631576
6180	21538	565	539	0.26785714285714285
1701	18630	481	500	0.23157894736842105
7994	25832	1296	503	0.3333333333333333
24481	6951	590	567	0.23595505617977527
21203	10077	1216	918	0.3076923076923077
1892	5312	346	1315	0.30120481927710846
30161	31447	635	376	0.42857142857142855
29756	17650	527	192	0.3125
380	21589	505	335	0.4117647058823529
2873	29694	536	289	0.22105263157894736
21293	8475	301	1247	0.22413793103448276
13852	3190	225	514	0.25263157894736843
18543	21179	630	298	0.46153846153846156
3639	4634	503	569	0.42105263157894735
24994	6065	510	1377	0.25862068965517243
26139	16722	518	493	0.38235294117647056
11666	15733	461	1317	0.4146341463414634
26143	5845	513	337	0.29411764705882354
1344	13646	334	411	0.38461538461538464
10678	25460	292	490	0.3333333333333333
26371	18673	1531	388	0.24
10101	7903	261	351	0.5
19565	32168	468	536	0.25252525252525254
28335	20322	563	501	0.4375
8604	23530	1281	1360	0.6791885800150262
6298	24081	258	416	0.3930635838150289
33597	13098	1021	536	0.22764227642276422
32087	29192	543	661	0.2876712328767123
25433	31223	1419	551	0.2698412698412698
17595	27726	519	559	0.5454545454545454
5912	27691	536	476	0.5
24132	12213	1278	501	0.1896551724137931
28449	27919	374	534	0.2777777777777778
6091	2650	349	521	0.6
33642	22396	771	1761	0.3333333333333333
30377	14695	516	394	0.2714285714285714
10162	32461	254	528	0.4090909090909091
34555	34385	764	575	0.34121621621621623
5503	19051	350	272	0.34782608695652173
30685	28662	268	811	0.2159090909090909
5189	31300	850	547	0.3409090909090909
19686	9739	1288	619	0.2679425837320574
8374	19687	634	1293	0.5217391304347826
16295	34281	448	178	0.2345679012345679
28031	19364	320	1277	0.30434782608695654
3127	5015	503	518	0.27906976744186046
2955	33647	323	693	0.26666666666666666
7053	33466	510	357	0.23170731707317074
27847	27067	891	476	0.2830188679245283
6192	30451	524	277	0.42857142857142855
16605	23295	362	626	0.3424657534246575
16702	5358	513	631	0.21875
32993	1066	292	275	0.26666666666666666
7466	30335	342	316	0.8534201954397395
11767	11941	615	985	0.26595744680851063
25752	2966	1298	572	0.391304347826087
5458	27279	231	585	0.18032786885245902
19506	20574	573	503	0.38095238095238093
29818	29487	1147	515	0.38636363636363635
17371	22369	255	334	0.2459016393442623
12267	13832	508	1508	0.23636363636363636
12129	5126	271	578	0.2631578947368421
16994	6968	457	427	0.29411764705882354
28429	35020	253	501	0.5
1174	383	255	448	0.38095238095238093
871	11254	502	935	0.23809523809523808
31268	30157	301	383	0.20388349514563106
26548	31897	301	542	0.24
19844	23640	1527	1321	0.2328767123287671
25886	19834	291	411	0.24074074074074073
5743	8197	976	1341	0.48273026315789475
8854	909	543	273	0.4666666666666667
12504	7334	452	534	0.3111111111111111
1041	12335	824	425	0.2702702702702703
1757	13712	310	326	0.625
31530	9512	546	500	0.75
15845	28559	1320	413	0.2318840579710145
12511	5642	532	1612	0.25925925925925924
19720	30371	146	221	0.35294117647058826
9710	31063	498	519	0.27956989247311825
27648	1429	256	372	0.20833333333333334
7632	10885	544	439	0.2830188679245283
9989	29180	484	512	0.2236842105263158
31788	30899	483	1258	0.4782608695652174
1286	29459	494	293	0.25
15900	13194	192	1330	0.5
19322	25672	1105	508	0.4117647058823529
3337	21879	478	523	0.3076923076923077
516	6728	292	287	0.2132701421800948
28297	27242	415	342	0.42857142857142855
32486	19056	1211	499	0.2222222222222222
2425	31948	433	504	0.27848101265822783
26193	31857	544	552	0.2916666666666667
33643	31975	992	516	0.21333333333333335
15198	3978	332	1325	0.29545454545454547
34623	1246	468	255	0.24074074074074073
27656	20699	348	418	0.42857142857142855
4162	17553	1342	478	0.3
27337	31020	872	763	0.5697969543147208
7663	32426	348	373	0.25925925925925924
22725	29381	912	515	0.1724137931034483
28588	1363	556	887	0.22448979591836735
10573	18875	237	397	0.38461538461538464
12596	30752	163	1516	0.3333333333333333
22534	28712	392	859	0.4
15211	33268	394	1510	0.24528301886792453
14398	22226	292	346	0.34782608695652173
30701	8595	525	525	0.3157894736842105
19227	25583	552	369	0.23529411764705882
27319	23609	1324	494	0.25925925925925924
30954	10618	1531	1519	0.9059438275636839
13579	18511	292	487	0.32
5648	31646	1472	561	0.37037037037037035
8460	11356	1318	801	0.4375
13073	10244	452	377	0.2857142857142857
32255	6612	553	542	0.7142857142857143
27261	32356	350	406	0.2857142857142857
19900	15382	477	505	0.7912524850894632
13725	3083	521	323	0.2916666666666667
1188	23513	545	569	0.3103448275862069
17092	23399	1240	273	0.4375
10394	11450	858	692	0.5417201540436457
32995	2095	595	425	0.35714285714285715
4172	22133	621	430	0.3103448275862069
28221	7469	913	523	0.4166666666666667
14856	7909	502	296	0.1951219512195122
14686	31874	192	561	0.46153846153846156
16896	22303	1268	325	0.35
23281	3058	538	464	0.4166666666666667
17530	9907	425	467	0.2619047619047619
33776	6825	363	341	0.2857142857142857
3304	28693	323	465	0.3684210526315789
29958	7269	323	1317	0.34285714285714286
6939	6676	543	455	0.36666666666666664
2750	33246	514	283	0.24050632911392406
6908	10947	483	492	0.27586206896551724
7737	13460	450	332	0.36363636363636365
23700	10291	515	1612	0.2558139534883721
19144	28935	1289	490	0.20833333333333334
33154	32662	825	439	0.2702702702702703
6507	10111	1530	312	0.34375
23837	21928	1251	510	0.29411764705882354
9029	8059	574	548	0.25
13231	28777	1508	553	0.38461538461538464
27246	431	375	307	0.42105263157894735
16077	31042	293	512	0.3125
22368	18792	354	654	0.29411764705882354
33097	11223	370	551	0.20833333333333334
5585	17433	320	620	0.32432432432432434
24407	27198	1512	335	0.2743362831858407
23635	16085	475	299	0.3076923076923077
9935	34711	384	672	0.21428571428571427
27637	14954	499	365	0.29508196721311475
9043	28103	1358	532	0.2765957446808511
27093	26824	1359	519	0.2413793103448276
30064	33826	538	487	0.29411764705882354
23709	1950	600	304	0.2916666666666667
29004	9541	793	864	0.4482758620689655
651	33904	290	178	0.26865671641791045
4560	5556	543	567	0.7121771217712177
22171	20631	473	1610	0.2
26322	10769	551	362	0.35714285714285715
28447	4028	1245	1326	0.22818791946308725
9892	3788	428	1557	0.2602739726027397
34064	19380	1447	828	0.25
27479	26345	1179	539	0.4482758620689655
19944	20558	658	522	0.25806451612903225
22554	517	1277	448	0.46153846153846156
18335	34589	501	395	0.23529411764705882
9624	26472	292	345	0.23109243697478993
29241	13443	768	1510	0.32
28976	22626	485	529	0.3333333333333333
26509	12929	1349	505	0.38235294117647056
19761	5523	504	1324	0.3125
2422	21921	356	522	0.2391304347826087
25558	8257	808	522	0.22033898305084745
34109	18607	677	392	0.3125
14007	6083	453	475	0.24
33532	20463	1029	1218	0.2631578947368421
34166	22328	102	551	0.2
10487	1534	1531	535	0.2602739726027397
1827	16953	474	343	0.38095238095238093
15816	19919	332	293	0.6666666666666666
27705	33113	335	354	0.75
7237	3928	476	802	0.2878787878787879
24443	17023	412	473	0.6
33259	23230	367	1335	0.2647058823529412
8114	3128	1180	404	0.3986013986013986
8175	29408	520	255	0.32142857142857145
19527	341	1261	374	0.25663716814159293
29697	22215	896	853	0.22727272727272727
15472	34949	1307	279	0.28205128205128205
15324	22959	320	405	0.375
19608	18647	531	415	0.5519125683060109
9173	24750	216	662	0.44
34056	16228	596	164	0.20238095238095238
6896	21485	626	586	0.25806451612903225
33846	12619	533	1276	0.23404255319148937
23676	29773	277	483	0.27450980392156865
6421	9604	516	1348	0.2777777777777778
27898	27004	465	593	0.2857142857142857
5370	6045	1488	329	0.3076923076923077
4075	27845	524	326	0.2037037037037037
8523	31211	373	555	0.2631578947368421
14076	29239	1287	260	0.20512820512820512
5116	24202	517	371	0.23958333333333334
34488	26394	504	1505	0.2857142857142857
34009	25872	598	259	0.24242424242424243
17281	32691	571	292	0.2807017543859649
27749	28841	851	565	0.3157894736842105
32082	27323	531	222	0.2545454545454545
10672	9459	219	1334	0.6153846153846154
33147	8331	375	545	0.5
31769	29996	495	480	0.2702702702702703
8479	33632	796	316	0.3888888888888889
34677	7737	706	450	0.3448275862068966
13935	29847	301	285	0.2265625
31021	2136	544	802	0.42105263157894735
10278	24204	333	1323	0.3333333333333333
7783	26779	549	522	0.2972972972972973
7230	7921	340	492	0.26666666666666666
24221	18978	530	564	0.25
2639	34260	291	373	0.1951219512195122
10046	7716	388	494	0.24528301886792453
24344	19983	252	848	0.22807017543859648
24540	19874	420	379	0.3333333333333333
19266	31845	1446	255	0.22413793103448276
1833	9363	498	1287	0.391304347826087
9315	27640	1254	536	0.34782608695652173
3188	19999	261	1261	0.3333333333333333
18578	14128	1239	95	0.3
136	8016	521	543	0.20103092783505155
22849	4427	821	345	0.35714285714285715
2928	27366	276	477	0.30952380952380953
31534	20296	526	292	0.43333333333333335
29646	22139	258	548	0.5
24727	31144	542	1532	0.45
8703	9078	539	500	0.30434782608695654
33080	30207	777	655	0.20567375886524822
29486	29430	515	211	0.3142857142857143
9763	21313	510	501	0.24324324324324326
5853	26845	553	442	0.21804511278195488
25377	15258	512	1286	0.2777777777777778
25912	22216	345	1312	0.3684210526315789
3002	29038	363	774	0.2711864406779661
18178	5801	297	553	0.2608695652173913
10853	1625	635	247	0.30434782608695654
20240	8112	519	507	0.25609756097560976
5580	12610	337	555	0.26666666666666666
3465	34193	522	264	0.5555555555555556
12412	31184	95	371	0.2857142857142857
32940	1223	178	1351	0.23255813953488372
7882	34855	452	373	0.36363636363636365
11779	1243	656	261	0.23076923076923078
18019	13487	555	556	0.7621621621621621
16075	29113	524	666	0.4444444444444444
5547	34966	345	467	0.5
20999	26332	334	229	0.22413793103448276
2948	32209	323	300	0.23255813953488372
1524	22279	524	1322	0.2807017543859649
28640	11829	350	1267	0.29545454545454547
27193	1576	845	519	0.32653061224489793
34596	20799	781	436	0.31666666666666665
25035	16854	460	880	0.391304347826087
5965	7513	330	478	0.2545454545454545
6509	11020	253	571	0.2903225806451613
18700	9439	1208	1493	0.36721311475409835
11971	16748	319	261	0.35294117647058826
5873	10107	596	298	0.20689655172413793
20106	26691	1195	486	0.21518987341772153
11088	3860	516	1545	0.30612244897959184
21318	11892	317	1528	0.2619047619047619
1780	3833	486	312	0.5
19531	25555	509	320	0.13178294573643412
6471	20974	562	522	0.5825771324863884
9336	27054	413	515	0.2765957446808511
21247	16903	1520	866	0.28125
24609	7927	547	340	0.23880597014925373
