accession	protein_names	gene_names	organism	cluster	n_substrates	mean_tanimoto	median_tanimoto	std_tanimoto	min_tanimoto	max_tanimoto
A0A8C4W2J4	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Gopherus evgoodei (Goodes thornscrub tortoise)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C4W2P1	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Gopherus evgoodei (Goodes thornscrub tortoise)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C4X8J9	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8 acot8	Erpetoichthys calabaricus (Rope fish) (Calamoichthys calabaricus)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C5GLN1	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	acot8	Gouania willdenowi (Blunt-snouted clingfish) (Lepadogaster willdenowi)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C5IC28	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)		Junco hyemalis (Dark-eyed junco)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C5KL18	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	Acot8	Jaculus jaculus (Lesser Egyptian jerboa)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C5R7P0	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Leptobrachium leishanense (Leishan spiny toad)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C5SJM9	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C5SLU9	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C5TR31	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)		Malurus cyaneus samueli	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C5WM26	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Leptobrachium leishanense (Leishan spiny toad)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C6AUC6	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Monodon monoceros (Narwhal) (Ceratodon monodon)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C6CRP7	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Moschus moschiferus (Siberian musk deer) (Moschus sibiricus)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C6LNX0	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8 acot8	Nothobranchius furzeri (Turquoise killifish)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C6LP17	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8 acot8	Nothobranchius furzeri (Turquoise killifish)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C6LP24	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8 acot8	Nothobranchius furzeri (Turquoise killifish)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C6N0Q5	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)		Mus spicilegus (Mound-building mouse)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C6RQN5	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	Acot8	Nannospalax galili (Northern Israeli blind subterranean mole rat) (Spalax galili)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C6WME3	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)		Neogobius melanostomus (round goby)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C6Y457	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Naja naja (Indian cobra)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C6Z3J2	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Nothoprocta perdicaria (Chilean tinamou) (Crypturus perdicarius)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C6ZAL9	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Nothoprocta perdicaria (Chilean tinamou) (Crypturus perdicarius)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C7AS71	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Neovison vison (American mink) (Mustela vison)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C7C7D4	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8 acot8	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C7CCQ6	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8 acot8	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C7NV56	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	acot8	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C8A6W7	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)		Otus sunia (Oriental scops-owl)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C8DPR9	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)		Oryzias sinensis (Chinese medaka)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C8LPJ0	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Oncorhynchus tshawytscha (Chinook salmon) (Salmo tshawytscha)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C8LPR3	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Oncorhynchus tshawytscha (Chinook salmon) (Salmo tshawytscha)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C8UC67	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	Acot8	Peromyscus maniculatus bairdii (Prairie deer mouse)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C8VKQ4	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)		Pelusios castaneus (West African mud turtle)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C8WAP7	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Panthera leo (Lion)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C9DHJ4	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Prolemur simus (Greater bamboo lemur) (Hapalemur simus)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C9EKL5	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)		Pavo cristatus (Indian peafowl) (Blue peafowl)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C9KBW6	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Panthera tigris altaica (Siberian tiger)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C9NIT6	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Serinus canaria (Island canary) (Fringilla canaria)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C9P9L4	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)		Spermophilus dauricus (Daurian ground squirrel)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C9RVW5	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8 acot8	Scleropages formosus (Asian bonytongue) (Osteoglossum formosum)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8C9ZAT2	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	acot8	Sander lucioperca (Pike-perch) (Perca lucioperca)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8D0E4W9	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)		Salvator merianae (Argentine black and white tegu) (Tupinambis merianae)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8D0H3S9	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Sphenodon punctatus (Tuatara) (Hatteria punctata)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8D0KZX2	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)		Strix occidentalis caurina (northern spotted owl)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8D2AN43	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Sciurus vulgaris (Eurasian red squirrel)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8D2GMU2	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Urocitellus parryii (Arctic ground squirrel) (Spermophilus parryii)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8I3NZF5	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Canis lupus familiaris (Dog) (Canis familiaris)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8J6DSX5	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	J0S82_013598	Galemys pyrenaicus (Iberian desman) (Pyrenean desman)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8J6JZE6	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	GDO78_004188	Eleutherodactylus coqui (Puerto Rican coqui)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8J6JZF2	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	GDO78_004188	Eleutherodactylus coqui (Puerto Rican coqui)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8J7P0L0	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	Acot8 GTO95_0012396	Atractosteus spatula (Alligator gar) (Lepisosteus spatula)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8K1GMP3	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	HGM15179_006261	Zosterops borbonicus	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8K9VBF9	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	acot8	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8T2JMV6	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	GDO86_014118	Hymenochirus boettgeri (Congo dwarf clawed frog)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8T2JRT4	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	GDO86_014118	Hymenochirus boettgeri (Congo dwarf clawed frog)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8T3D8C8	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	AGOR_G00159240	Albula goreensis	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8U0MLA3	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Mustela putorius furo (European domestic ferret) (Mustela furo)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8U0QAS7	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	acot8	Salvelinus namaycush (Lake trout) (Salmo namaycush)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
A0A8U0S8U3	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.27) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	ACOT8	Mustela putorius furo (European domestic ferret) (Mustela furo)	10	4	0.5041	0.3613	0.2467	0.3	0.9127
