cluster	size	dominant_stem	stem_coherence	dominant_go	go_coherence	dominant_kw	kw_coherence	dominant_ec_top	ec_coherence	n_outliers	case_study_score	outlier_accessions	outlier_protein_names
54	46	Glucosylceramidase	0.717	lysosomal membrane	0.848	Hydrolase	0.783		0.0	13	0.684	A0A8R7P8S6;A0A8R7TBT2;Q5R540;Q9Y694;P07099;P07687;Q08BA4;Q3B8Q3;Q5M7S0;Q6DFK0;Q8BGD6;Q8NBW4;Q9D379	Cytochrome P450 85A1 (3-dehydroteasterone synthase) (Teaster;Cytochrome P450 85A1 (3-dehydroteasterone synthase) (Teaster;Solute carrier family 22 member 7 (Organic anion transporter;Solute carrier family 22 member 7 (Novel liver transporter) ;Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Micros;Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Micros;Neutral amino acid transporter 9 (Solute carrier family 38 m;Neutral amino acid transporter 9 (Solute carrier family 38 m;Neutral amino acid transporter 9 (Solute carrier family 38 m;Neutral amino acid transporter 9 (Solute carrier family 38 m;Neutral amino acid transporter 9 (Solute carrier family 38 m;Neutral amino acid transporter 9 (Solute carrier family 38 m;Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Micros
50	59	Apolipoprotein A-I	0.966	endocytic vesicle	0.983	Lipoprotein	0.983		0.0	2	0.679	A0A1A8A852;A0A7M4DWP3	Hedgehog protein;Apolipoprotein A1
6	50	Non-lysosomal glucosylceramidase	0.64	galactosylceramidase activity	0.64	Lipid metabolism	0.7		0.0	18	0.673	A6QLW8;Q1RPP5;Q3YAW7;Q5RLM2;Q6PIU2;Q8BLF1;Q91WU2;D3Z6P0;O00264;O13995;O15173;O55022;P70580;Q13087;Q17QC0;Q80UU9;Q95250;Q9XFM6	Solute carrier family 22 member 7 (Organic anion transporter;Solute carrier family 22 member 7 (Organic anion transporter;Solute carrier family 22 member 7 (Organic anion transporter;Solute carrier family 22 member 7 (Novel liver transporter) ;Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (A;Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (A;Solute carrier family 22 member 7 (Organic anion transporter;Protein disulfide-isomerase A2 (EC 5.3.4.1) (PDIp);Membrane-associated progesterone receptor component 1 (mPR) ;Cytochrome P450 regulator dap1;Membrane-associated progesterone receptor component 2 (Proge;Membrane-associated progesterone receptor component 1 (mPR);Membrane-associated progesterone receptor component 1 (mPR) ;Protein disulfide-isomerase A2 (EC 5.3.4.1) (Pancreas-specif;Membrane-associated progesterone receptor component 1 (mPR);Membrane-associated progesterone receptor component 2;Membrane-associated progesterone receptor component 1 (mPR);Membrane steroid-binding protein 1 (AtMP1) (Membrane-associa
27	313	3-hydroxyacyl-CoA dehydrogenase type-2	0.984	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	0.987	Oxidoreductase	1.0	1	1.0	5	0.667	A0A1S3FRL7;A0A8C5KMA8;A0A8I6A7Z5;O53547;P37769	Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.104) (;Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.104) (;Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.104) (;Hydroxyacyl-CoA dehydrogenase ChsB1 (EC 1.1.1.-);2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127)
40	342	Broad substrate specificity ATP-binding cassette transporter ABCG2	0.982	ATP hydrolysis activity	0.985	Transport	0.985		0.0	6	0.666	A0A670XX78;P49886;P91829;Q5ANA3;Q9IAC6;U3IG13	Androgen receptor (Dihydrotestosterone receptor) (Nuclear re;Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nucl;Nuclear hormone receptor family member nhr-69;Pleiotropic ABC efflux transporter of multiple drugs CDR1 (P;Mineralocorticoid receptor (MR) (Nuclear receptor subfamily ;Androgen receptor (Dihydrotestosterone receptor) (Nuclear re
43	205	Acyl-coenzyme A diphosphatase NUDT19	1.0	coenzyme A diphosphatase activity	1.0	Hydrolase	1.0		0.0	0	0.658		
68	69	Sterol carrier protein 2	0.58	peroxisome	0.58	Lipid metabolism	1.0	1	0.545	29	0.656	A0A1U7T694;A0A2I2Z3P7;A0A2K5ITC2;A0A2K6SUQ9;A0A2U3VKW4;A0A2Y9FX59;A0A2Y9NK95;A0A6A1Q6B6;A0A6P3R1G8;A0A7J8IH51;A0A7J8JTN4;A0A7N5JIM7;A0A8C5XNJ8;A0A8I3MR52;A0AB34HM99;H7C0D0;O02766;O46491;O75881;O88962;P18125;P22680;P51542;Q2PG47;Q60991;Q63688;Q64505;Q7YRB2;Q9UNU6	Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase (EC 1;Cytochrome P450 7A1 (24-hydroxycholesterol 7-alpha-hydroxyla;Cytochrome P450 7B1 (24-hydroxycholesterol 7-alpha-hydroxyla;7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase (EC 1;Cytochrome P450 7A1 (24-hydroxycholesterol 7-alpha-hydroxyla;Cytochrome P450 7A1 (24-hydroxycholesterol 7-alpha-hydroxyla;Cytochrome P450 7A1 (24-hydroxycholesterol 7-alpha-hydroxyla;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cytochrome P450 7B1 (24-hydroxycholesterol 7-alpha-hydroxyla;25-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.29) (C;Cytochrome P450 7A1 (24-hydroxycholesterol 7-alpha-hydroxyla;5-beta-cholestane-3-alpha,7-alpha-diol 12-alpha-hydroxylase ;7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase (EC 1
59	324	Glucosylceramidase	0.988	lysosomal membrane	0.988	Glycosidase	0.988		0.0	4	0.652	O18330;P04278;P14847;P48199	Major royal jelly protein 1 (56-kDa protein 4) (p56kP-4) (Ap;Sex hormone-binding globulin (SHBG) (Sex steroid-binding pro;C-reactive protein;C-reactive protein
14	383	Hormone-sensitive lipase	0.984	caveola	0.984	Hydrolase	0.99		0.0	6	0.651	Q7YTB0;Q8I266;Q9VCE9;P0C2E9;P13128;Q04IN8	Ecdysteroid-phosphate phosphatase (EPPase) (EC 3.1.3.-) (EC ;Niemann-Pick type C1-related protein (NCR1 transporter) (PfN;Ecdysteroid-phosphate phosphatase (EC 3.1.3.-) (Protein UBAS;Perfringolysin O (PFO) (Theta-toxin) (Thiol-activated cytoly;Listeriolysin O (LLO) (Thiol-activated cytolysin);Pneumolysin (PLY) (Thiol-activated cytolysin)
16	220	Hormone-sensitive lipase	0.995	caveola	0.995	Hydrolase	1.0		0.0	1	0.649	A3KNS3	Hedgehog protein
22	252	11-beta-hydroxysteroid dehydrogenase 1	1.0	11-beta-hydroxysteroid dehydrogenase (NADP+) activity	0.996	Oxidoreductase	1.0	1	1.0	0	0.639		
81	42	Phosphatidylcholine-sterol acyltransferase	0.643	1-alkyl-2-acetylglycerophosphocholine esterase activity	0.643	Lipid metabolism	0.738	2	1.0	15	0.638	O43529;O54702;P58428;Q5RBZ6;Q5T3U5;Q6PGK7;Q8R4P9;Q99PE7;Q99PE8;Q9DBM0;Q9H221;Q9H222;P08133;P14824;P48037	Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotr;Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotr;ATP-binding cassette sub-family G member 8 (EC 7.6.2.-) (Ste;Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotr;ATP-binding cassette sub-family C member 10 (EC 7.6.2.2) (EC;Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotr;ATP-binding cassette sub-family C member 10 (EC 7.6.2.2) (EC;ATP-binding cassette sub-family G member 5 (EC 7.6.2.-) (Ste;ATP-binding cassette sub-family G member 5 (EC 7.6.2.-) (Ste;ATP-binding cassette sub-family G member 8 (EC 7.6.2.-) (Ste;ATP-binding cassette sub-family G member 8 (EC 7.6.2.-) (Ste;ATP-binding cassette sub-family G member 5 (EC 7.6.2.-) (Ste;Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Ca;Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Ca;Annexin A6 (Annexin VI) (Annexin-6) (Calcium-binding protein
9	388	Peroxisomal coenzyme A diphosphatase NUDT7	0.987	peroxisomal matrix	0.987	Magnesium	1.0		0.0	5	0.638	A7MBI7;O88587;P21964;P22734;Q5H879	Catechol O-methyltransferase (EC 2.1.1.6);Catechol O-methyltransferase (EC 2.1.1.6);Catechol O-methyltransferase (EC 2.1.1.6);Catechol O-methyltransferase (EC 2.1.1.6);Catechol O-methyltransferase (EC 2.1.1.6)
4	265	Broad substrate specificity ATP-binding cassette transporter ABCG2	1.0	mitochondrial membrane	1.0	Transport	1.0		0.0	0	0.634		
53	40	Multidrug resistance-associated protein 1	0.575	apical plasma membrane	0.675	Lipid transport	0.675		0.0	17	0.63	A0A087RDM0;A0A091FXL5;A0A091I6L1;A0A091KH17;A0A091NLJ8;A0A091S9V1;A0A093CKZ3;A0A093GPJ1;A0A093HZ13;A0A093Q5D1;A0A093QRF7;A0A093TGK8;A0AAW3DGE3;Q28689;Q63120;Q8VI47;Q92887	Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC ;ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC ;ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC ;ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 
10	572	Acyl-coenzyme A thioesterase 8	0.984	peroxisomal matrix	0.984	Lipid metabolism	0.997	3	0.976	9	0.613	A0A1D5PWW3;A0A663FB82;A0A672V274;A0A7K8YDY1;A0A7L0IXS0;A0A8B9CZW8;A0A8C2UJM5;Q00175;Q63449	3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenas;3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenas;3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenas;3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenas;3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenas;3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenas;3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenas;Progesterone receptor (PR) (Nuclear receptor subfamily 3 gro;Progesterone receptor (PR) (Nuclear receptor subfamily 3 gro
37	43	Multidrug resistance-associated protein 1	0.465	ATP hydrolysis activity	0.605	Transport	0.721	1	0.955	23	0.597	A0A096N3M1;A0A0D9R8R0;A0A1D5RFV5;A0A2K5N808;A0A2K6KB92;A0A8C9IQI1;A0A8D2K8L6;A7KAU2;D3ZCM3;O74198;P25087;P31210;P45844;P51857;Q5I0E9;Q64343;Q86VL8;Q8K0H1;Q8VCX1;Q91WA9;Q96FL8;Q9H172;Q9TV64	Aldo-keto reductase family 1 member D1;Aldo-keto reductase family 1 member D1;ATP binding cassette subfamily G member 1;Aldo-keto reductase family 1 member D1;Aldo-keto reductase family 1 member D1;Aldo-keto reductase family 1 member D1;Aldo-keto reductase family 1 member D1;Multidrug and toxin extrusion protein 1 (MATE-1) (Solute car;ATP-binding cassette subfamily G member 4 (EC 7.6.2.-) (ATP-;Sterol 24-C-methyltransferase (SCMT) (SMT) (EC 2.1.1.41) (De;Sterol 24-C-methyltransferase ERG6 (SCMT) (EC 2.1.1.41) (Del;Aldo-keto reductase family 1 member D1 (EC 1.3.1.3) (3-oxo-5;ATP-binding cassette sub-family G member 1 (EC 7.6.2.-) (ATP;Aldo-keto reductase family 1 member D1 (EC 1.3.1.3) (3-oxo-5;Multidrug and toxin extrusion protein 1 (MATE-1) (rMATE-1) (;ATP-binding cassette sub-family G member 1 (EC 7.6.2.-) (ATP;Multidrug and toxin extrusion protein 2 (MATE-2) (hMATE-2) (;Multidrug and toxin extrusion protein 1 (MATE-1) (mMATE-1) (;Aldo-keto reductase family 1 member D1 (EC 1.3.1.3) (3-oxo-5;ATP-binding cassette subfamily G member 4 (EC 7.6.2.-) (ATP-;Multidrug and toxin extrusion protein 1 (MATE-1) (hMATE-1) (;ATP-binding cassette sub-family G member 4 (EC 7.6.2.-);Aldo-keto reductase family 1 member D1 (EC 1.3.1.3) (3-oxo-5
2	496	Sterol carrier protein 2	0.99	acetyl-CoA C-acyltransferase activity	0.992	Lipid metabolism	0.996	2	0.988	5	0.597	A0A0D6LPP2;A0A2A2KQW3;A0A2A2KQZ8;A0A368H9T8;A0A7J6DCT1	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.53) (EC 1.1;(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.;(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.;3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.53) (EC 1.1;Uridine-cytidine kinase (EC 2.7.1.48)
19	445	Cytochrome P450 1A	0.993	heme binding	1.0	Heme	1.0	1	1.0	3	0.596	A0A091E3Q0;L8YAN1;P30437	Tyrosine-protein kinase (EC 2.7.10.2);Enhancer of mRNA-decapping protein 3 (EC 1.14.14.1) (EC 2.7.;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC
5	713	Cholesterol 24-hydroxylase	0.994	heme binding	1.0	Heme	1.0	1	1.0	4	0.547	A0A8C4TBY3;A9FDB7;C4B644;Q06069	CCR4-NOT transcription complex subunit 3 (EC 1.14.14.25) (CC;C-19 steroid 1alpha-hydroxylase (EC 1.14.15.19) (Cytochrome ;Vitamin D(3) 25-hydroxylase (EC 1.14.15.15) (Cytochrome P450;Cytochrome P450(MEG) (EC 1.14.99.-) (Steroid 15-beta-hydroxy
23	181	Non-lysosomal glucosylceramidase	0.74	cholesterol metabolic process	0.812	Lipid metabolism	0.983	1	0.923	47	0.529	A0A0G2QMF8;A0A109NNF9;A0A2I3REQ0;A0A2I3RWU0;A0A2I3T1D4;A0A2R9BD66;A0A2R9BEK3;A0A2R9BLS3;A0A452SQU9;A0A5F5PN44;A0A5G2QTJ5;A0A5J5MRY2;A0A667HAF8;A0A671FJJ9;A0A673T1B5;A0A6P3IUD6;A0A7J8DNE8;A0A8B9WVY9;A0A8C0KD45;A0A8C3WIJ1;A0A8C6BKZ0;A0A8C7BFV4;A0A8C8XU47;A0A8C9CHX2;A0A8C9J5N3;A0A8I3S5L1;A0A9L0JLL1;A0AAA9SL17;A0ABI7XD86;G1MHN1	Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Cytochrome P450 2D6 (CYPIID6) (Cholesterol 25-hydroxylase) (;Cytochrome P450 (EC 1.14.14.-);Cytochrome P450 (EC 1.14.14.-);Cytochrome P450 (EC 1.14.14.-);Cytochrome P450 (EC 1.14.14.-);Cytochrome P450 2D6 (CYPIID6) (Cholesterol 25-hydroxylase) (;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC
67	311	Sterol carrier protein 2	0.865	acetyl-CoA C-myristoyltransferase activity	0.865	Transport	0.955	2	0.971	42	0.521	A0A3B3CML3;A0A3B3CMP8;A0A8C7XVZ4;A0A8C7XW25;A0A8D2DQU1;F5H094;H2M421;H2M444;O09174;O35913;O88397;O94956;P46720;P46721;P70473;Q6ZQN7;Q71MB6;Q8BGD4;Q8BXB6;Q8HYW2;Q8K078;Q8R3L5;Q91YY5;Q96BD0;Q99N01;Q99N02;Q9EP96;Q9EPZ7;Q9ERB5;Q9JHI3	Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Phosphatidylcholine-sterol acyltransferase (EC 2.3.1.43) (EC;SLCO1B3-SLCO1B7 readthrough transcript protein (Liver specif;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Alpha-methylacyl-CoA racemase (EC 5.1.99.4) (2-methylacyl-Co;Solute carrier organic anion transporter family member 1A4 (;Solute carrier organic anion transporter family member 1A5 (;Solute carrier organic anion transporter family member 2B1 (;Solute carrier organic anion transporter family member 1A1 (;Solute carrier organic anion transporter family member 1A2 (;Alpha-methylacyl-CoA racemase (EC 5.1.99.4) (2-arylpropionyl;Solute carrier organic anion transporter family member 4C1 (;Solute carrier organic anion transporter family member 4C1 (;Solute carrier organic anion transporter family member 4C1 (;Solute carrier organic anion transporter family member 2B1 (;Solute carrier organic anion transporter family member 3A1 (;Solute carrier organic anion transporter family member 4A1 (;Solute carrier organic anion transporter family member 3A1 (;Solute carrier organic anion transporter family member 1A5 (;Solute carrier organic anion transporter family member 4A1 (;Solute carrier organic anion transporter family member 4A1 (;Solute carrier organic anion transporter family member 3A1 (;Solute carrier organic anion transporter family member 1A4 (;Solute carrier organic anion transporter family member 1C1 (;Solute carrier organic anion transporter family member 1C1 (;Solute carrier organic anion transporter family member 2B1 (
39	168	3-hydroxyacyl-CoA dehydrogenase type-2	0.726	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	0.744	Oxidoreductase	0.81	1	0.995	46	0.511	A0A0R4J136;A0A218U6W2;A0A3Q0FRV6;A0A4D9DJ86;A0A673W6Y3;A0A674GFF3;A0A674H270;A0A674HUS0;A0A8B9PAR6;A0A8C4YC36;A0A8D0FUJ8;A0A8V0X804;A0A8V1A6F4;A0A8V1AB98;A0A8V1ABA3;A0A8V1ABA6;A0A8V5GXP6;A0AAN7MZN7;A0AAT9S750;A0AAT9SBG6;A0ABC9XSK9;A0ABM4G6X0;A0ABM4G6X4;A0ABQ7TPU2;P18405;P24008;P31213;P31214;Q38944;Q3U0B3	3-oxo-5-alpha-steroid 4-dehydrogenase (EC 1.3.1.22);Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (E;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;3-oxo-5-alpha-steroid 4-dehydrogenase 1 (EC 1.3.1.22) (SR ty;3-oxo-5-alpha-steroid 4-dehydrogenase 1 (EC 1.3.1.22) (SR ty;3-oxo-5-alpha-steroid 4-dehydrogenase 2 (EC 1.3.1.22) (5 alp;3-oxo-5-alpha-steroid 4-dehydrogenase 2 (EC 1.3.1.22) (5 alp;Steroid 5-alpha-reductase DET2 (EC 1.3.1.22) ((22R,23R)-22,2;Dehydrogenase/reductase SDR family member 11 (17-beta-hydrox
17	182	Cholesterol 24-hydroxylase	0.687	heme binding	0.709	Heme	0.709	1	1.0	57	0.484	A0A087YHV4;A0A1A8B060;A0A1U7SHK2;A0A315V5X4;A0A3B5AXJ5;A0A3B5Q507;A0A3P9PM06;A0A3Q1C130;A0A3Q4G7Y6;A0A3S2PI41;A0A444U2U2;A0A4W4H822;A0A556TNI1;A0A5C6PAK0;A0A5N5NX79;A0A665UC76;A0A668T7C0;A0A671NSC0;A0A672GBN5;A0A672MAG2;A0A673A8B6;A0A673GYL0;A0A673VV53;A0A6I9P4B3;A0A6J2PXK8;A0A6P6JHM1;A0A6P7IRA3;A0A6P7MP05;A0A6P7MP57;A0A6P7Y5W7	Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Thromboxane-A synthase (EC 1.14.14.1) (EC 4.2.1.152) (EC 5.3;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Lanosterol 14-alpha demethylase (EC 1.14.14.154);Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8) ;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu
